Model,Fold,Sharpe_Ratio,Total_Return,Max_Drawdown,Volatility,Annual_Return,Calmar_Ratio,Win_Rate
1/N Baseline,1,2.384924160319138,0.27780878967729167,-0.05752400269589607,0.10144348873974858,,4.642454590162822,0.5900383141762452
1/N Baseline,2,0.5762542612664818,0.13154749910107977,-0.2820564714573672,0.26963607490647395,,0.44750799298125665,0.5305343511450382
1/N Baseline,3,2.0220699303519303,0.26425180604269566,-0.05608083054648885,0.1152891087593408,,4.530440563577938,0.5517241379310345
1/N Baseline,4,-0.27267506410572406,-0.06979134068745445,-0.19759054064548318,0.19069929635004898,,-0.34272061221378053,0.45
1/N Baseline,5,1.6774816165532098,0.49595706177590393,-0.10310168099878703,0.12049431242598056,,2.086121049317046,0.5316698656429942
Vanilla PPO,1,2.1379265138535515,0.3056064097308009,-0.08582971886585371,0.12459319157372117,0.29493753343241536,3.436310142101055,0.6038461538461538
Vanilla PPO,2,0.854181517289906,0.25427024995496406,-0.2985313162387675,0.314125030494834,0.24450980923459498,0.8190424117483014,0.5172413793103449
Vanilla PPO,3,2.4362459269233434,0.3249863727423884,-0.05317454927640178,0.11471531475486972,0.3135634646884329,5.896871133942804,0.573076923076923
Vanilla PPO,4,-0.2660088780623352,-0.07135227331416798,-0.21537241590274397,0.19750833282493543,-0.0694924702768992,-0.32266188771490595,0.4517374517374517
Vanilla PPO,5,2.013988727525603,0.6062111358436894,-0.10510580797086684,0.1175016330153102,0.2581578218599092,2.456170851485821,0.5307692307692308
GCN-PPO,1,2.4188126588643724,0.3032795362530791,-0.06270792426018919,0.10863748493286654,0.29270062388773055,4.667681594326903,0.6076923076923076
GCN-PPO,2,0.7520678003244241,0.19936243382202903,-0.28449978598990866,0.2893515302015201,0.19186759678931176,0.6744033079733753,0.5325670498084292
GCN-PPO,3,2.6202734195913315,0.33451218983551606,-0.04571751735467262,0.10907056611780953,0.3227155731882638,7.058904154498675,0.5692307692307692
GCN-PPO,4,-0.03959530691823784,-0.02509981724820123,-0.18585149450335325,0.18634393840653368,-0.024429799335080382,-0.13144795741548154,0.47104247104247104
GCN-PPO,5,2.048276334237906,0.5231672195762158,-0.09479268530912112,0.10214503005979424,0.226202764714992,2.3862892371636018,0.5423076923076923
GAT-PPO,1,2.3804847108902587,0.3112345423875016,-0.06481947637548624,0.11307432529184837,0.30034755882046893,4.633600510448676,0.5961538461538461
GAT-PPO,2,0.792987645255682,0.2213439886860973,-0.2850535718416548,0.3007964645966884,0.21295191764008625,0.7470592852573673,0.5287356321839081
GAT-PPO,3,2.506675480927309,0.31690723959033074,-0.04874835309252166,0.10886409164389509,0.30579969879197866,6.273026254068273,0.573076923076923
GAT-PPO,4,-0.010774157383236118,-0.01996449178821978,-0.17935568025736334,0.18764347529319986,-0.0194301877692179,-0.10833327241901057,0.4749034749034749
GAT-PPO,5,2.0721166402262274,0.5361763233094965,-0.09617054737014055,0.1030029665450353,0.23126691396640897,2.4047582164247276,0.5423076923076923
