source,target,weight,raw_fidelity_drop,source_ticker,target_ticker,score
0,9,0.23537799715995789,0.054120421409606934,AAPL,XOM,1.0
10,9,0.5744425058364868,0.00171661376953125,CVX,XOM,0.03171841099571581
8,9,0.3021448254585266,0.0016462206840515137,KO,XOM,0.030417735878148437
1,9,0.0,0.0,MSFT,XOM,0.0
2,9,0.0,0.0,NVDA,XOM,0.0
3,9,0.0,0.0,JPM,XOM,0.0
4,9,0.0,0.0,GS,XOM,0.0
5,9,0.0,0.0,JNJ,XOM,0.0
6,9,0.0,0.0,PFE,XOM,0.0
7,9,0.0,0.0,WMT,XOM,0.0
11,9,0.0,0.0,CAT,XOM,0.0
12,9,0.0,0.0,GLD,XOM,0.0
13,9,0.0,0.0,TLT,XOM,0.0
