,AAPL,MSFT,NVDA,JPM,GS,JNJ,PFE,WMT,KO,XOM,CVX,CAT,GLD,TLT
AAPL,1.0,0.2841407608764187,0.19348260243172224,0.00582534794872276,0.3406082693495347,0.2032851649677479,0.3060770160764673,0.21200808556866144,0.5815912091955362,0.45813172314831885,0.17928120154064794,-0.08582547068510864,0.16510125978848778,0.20052204739653187
MSFT,0.2841407608764187,1.0,0.4985781184296595,0.013835097123815745,0.5521701759353298,0.19369459010881604,0.5392375703156853,0.20037715154770652,0.28533328204079683,0.2630728938679444,0.20392298289918323,-0.2635042564230318,0.13901875459573224,0.48924719644356757
NVDA,0.19348260243172224,0.4985781184296595,1.0,0.03167497658686244,0.4345738300843529,0.20117122214441818,0.46468375765988906,0.22407242884076436,0.1925828264918208,0.16424791279329765,0.19312782077827392,-0.2118226271061052,0.13571175867252652,0.785947528900855
JPM,0.00582534794872276,0.013835097123815745,0.03167497658686244,1.0,-0.10194453999052917,-0.00013943888252427816,-0.14744947279139384,0.03148324564786152,-0.0007676073441140688,-0.009494352241681825,-0.02628440266596571,0.3157855301266836,0.022072376549488796,0.026700239598693824
GS,0.3406082693495347,0.5521701759353298,0.4345738300843529,-0.10194453999052917,1.0,0.2562672496942207,0.7852927519437086,0.23146316419050883,0.3506051019114061,0.30571802718956115,0.2596841930856388,-0.30995744140126624,0.16318922859239773,0.4238441399559304
JNJ,0.2032851649677479,0.19369459010881604,0.20117122214441818,-0.00013943888252427816,0.2562672496942207,1.0,0.2734420375868146,0.39236192751767135,0.24399257507692276,0.09289253460860865,0.44822269059918085,-0.04849918197899728,0.24142267273980658,0.20797432166297508
PFE,0.3060770160764673,0.5392375703156853,0.46468375765988906,-0.14744947279139384,0.7852927519437086,0.2734420375868146,1.0,0.26765300028970723,0.30023674303875053,0.25173079331748294,0.287081716945217,-0.3789493682136931,0.17110851764594073,0.4557484944524897
WMT,0.21200808556866144,0.20037715154770652,0.22407242884076436,0.03148324564786152,0.23146316419050883,0.39236192751767135,0.26765300028970723,1.0,0.2622081683985984,0.10674525558946985,0.2860232842280814,0.003090845346311495,0.29162170592185965,0.21984300185442368
KO,0.5815912091955362,0.28533328204079683,0.1925828264918208,-0.0007676073441140688,0.3506051019114061,0.24399257507692276,0.30023674303875053,0.2622081683985984,1.0,0.5439333483681513,0.21136222804629196,-0.08977153270957003,0.19679721714073828,0.18405291197679705
XOM,0.45813172314831885,0.2630728938679444,0.16424791279329765,-0.009494352241681825,0.30571802718956115,0.09289253460860865,0.25173079331748294,0.10674525558946985,0.5439333483681513,1.0,0.1224415250384446,-0.05964639280198815,0.12713785996863416,0.13824019137187238
CVX,0.17928120154064794,0.20392298289918323,0.19312782077827392,-0.02628440266596571,0.2596841930856388,0.44822269059918085,0.287081716945217,0.2860232842280814,0.21136222804629196,0.1224415250384446,1.0,-0.04650410118749722,0.16838774822631217,0.19968109534934816
CAT,-0.08582547068510864,-0.2635042564230318,-0.2118226271061052,0.3157855301266836,-0.30995744140126624,-0.04849918197899728,-0.3789493682136931,0.003090845346311495,-0.08977153270957003,-0.05964639280198815,-0.04650410118749722,1.0,-0.04055881426633628,-0.22003022428060218
GLD,0.16510125978848778,0.13901875459573224,0.13571175867252652,0.022072376549488796,0.16318922859239773,0.24142267273980658,0.17110851764594073,0.29162170592185965,0.19679721714073828,0.12713785996863416,0.16838774822631217,-0.04055881426633628,1.0,0.14652598766649846
TLT,0.20052204739653187,0.48924719644356757,0.785947528900855,0.026700239598693824,0.4238441399559304,0.20797432166297508,0.4557484944524897,0.21984300185442368,0.18405291197679705,0.13824019137187238,0.19968109534934816,-0.22003022428060218,0.14652598766649846,1.0
